Assignment,Attendence,Book,Course,Feedback,Lecture,Manual,Page,Project,Questionnaire,Quiz,Source,Study_material,Survey,Test,URL
169952.0,452.0,1356.0,71868.0,0.0,28928.0,8588.0,452.0,0.0,0.0,24408.0,0.0,9492.0,3616.0,66896.0,0.0
145136.0,386.0,1158.0,61374.0,0.0,24704.0,7334.0,386.0,0.0,0.0,20844.0,0.0,8106.0,3088.0,57128.0,0.0
17296.0,46.0,138.0,7314.0,0.0,2944.0,874.0,46.0,0.0,0.0,2484.0,0.0,966.0,368.0,6808.0,0.0
11803.0,29.0,58.0,5539.0,0.0,812.0,464.0,116.0,58.0,29.0,5220.0,0.0,841.0,319.0,12963.0,0.0
199023.0,489.0,978.0,93399.0,0.0,13692.0,7824.0,1956.0,978.0,489.0,88020.0,0.0,14181.0,5379.0,218583.0,0.0
238095.0,585.0,1170.0,111735.0,0.0,16380.0,9360.0,2340.0,1170.0,585.0,105300.0,0.0,16965.0,6435.0,261495.0,0.0
107448.0,264.0,528.0,50424.0,0.0,7392.0,4224.0,1056.0,528.0,264.0,47520.0,0.0,7656.0,2904.0,118008.0,0.0
2717.0,104.0,0.0,1547.0,0.0,156.0,156.0,13.0,0.0,0.0,2353.0,0.0,117.0,117.0,2730.0,13.0
13585.0,520.0,0.0,7735.0,0.0,780.0,780.0,65.0,0.0,0.0,11765.0,0.0,585.0,585.0,13650.0,65.0
119757.0,4584.0,0.0,68187.0,0.0,6876.0,6876.0,573.0,0.0,0.0,103713.0,0.0,5157.0,5157.0,120330.0,573.0
30096.0,1152.0,0.0,17136.0,0.0,1728.0,1728.0,144.0,0.0,0.0,26064.0,0.0,1296.0,1296.0,30240.0,144.0
564.0,0.0,9.0,231.0,6.0,174.0,6.0,9.0,0.0,3.0,738.0,15.0,12.0,15.0,906.0,0.0
69936.0,0.0,1116.0,28644.0,744.0,21576.0,744.0,1116.0,0.0,372.0,91512.0,1860.0,1488.0,1860.0,112344.0,0.0
83848.0,0.0,1338.0,34342.0,892.0,25868.0,892.0,1338.0,0.0,446.0,109716.0,2230.0,1784.0,2230.0,134692.0,0.0
20868.0,0.0,333.0,8547.0,222.0,6438.0,222.0,333.0,0.0,111.0,27306.0,555.0,444.0,555.0,33522.0,0.0
2096.0,0.0,72.0,1304.0,0.0,768.0,144.0,72.0,0.0,8.0,1872.0,0.0,240.0,80.0,1736.0,0.0
